url,energy,heating,price,area,rooms,fee,zipcode,construction_year,level
https://www.immowelt.de/expose/295gf5c,na,na,885.000 €,132 m²,3,3.57,14055,2003,na
https://www.immowelt.de/expose/29vh45c,Gas,"Kamin, ",1.580.000 €,331 m²,7,3.57,10555,1910,5
https://www.immowelt.de/expose/29tmy5b,na,na,1.390.000 €,118 m²,4,3.57,10405,na,utzungfrei
https://www.immowelt.de/expose/29sgy5b,na,na,465.000 €,66 m²,3,3.57,10625,na,utzungfrei
https://www.immowelt.de/expose/29c2t5b,Öl,Fußbodenheizung,220.000 €,96 m²,4,3.57,13439,na,na
https://www.immowelt.de/expose/297kr5a,na,na,270.000 €,68 m²,3,3.57,12159,na,utzungvermietet
https://www.immowelt.de/expose/29hgg5a,na,na,467.000 €,66 m²,3,3.57,10777,na,utzungfrei
https://www.immowelt.de/expose/29shf59,na,na,459.000 €,90 m²,3,3.57,12683,na,na
https://www.immowelt.de/expose/29xu458,Gas,Zentralheizung,458.000 €,"76,58 m²",3,Bitt,12105,1973,1
https://www.immowelt.de/expose/295l458,Gas,Zentralheizung,448.000 €,"76,58 m²",3,Bitt,12105,1973,Erdgeschoss
https://www.immowelt.de/expose/29vz358,Gas,Zentralheizung,275.000 €,"43,43 m²",1,Bitt,12105,1973,Erdgeschoss
https://www.immowelt.de/expose/29fz358,Gas,Zentralheizung,345.000 €,"56,76 m²",2,Bitt,12105,1994,Erdgeschoss
https://www.immowelt.de/expose/29kuz56,Gas,Zentralheizung,1.439.000 €,"129,17 m²",3,3.57,10245,1900,thouseWohnungslageErdgeschoss
https://www.immowelt.de/expose/29guz56,Gas,Zentralheizung,2.499.000 €,"201,85 m²",4,3.57,10245,1900,thouseWohnungslageErdgeschoss
https://www.immowelt.de/expose/29cwz56,Gas,Zentralheizung,439.000 €,"57,13 m²",2,3.57,10245,1900,1
https://www.immowelt.de/expose/296wz56,Gas,Zentralheizung,499.000 €,"51,41 m²",2,3.57,10245,1900,4
https://www.immowelt.de/expose/29bwu55,Fernwärme,Fußbodenheizung,880.040 €,"62,86 m²",2,prov,10997,2022,thouseWohnungslage6
https://www.immowelt.de/expose/29a4s54,na,na,549.000 €,62 m²,2,3.57,10247,2015,Erdgeschoss
https://www.immowelt.de/expose/29vj953,na,na,394.000 €,"100,04 m²","3,5",prov,10365,1900,3
https://www.immowelt.de/expose/28aqt5z,Öl,Zentralheizung,165.000 €,38 m²,1,Käuf,14195,1970,ErdgeschossDerzeitige Nutzungvermietet
https://www.immowelt.de/expose/28k6s5y,Fernwärme,Zentralheizung,919.000 €,"110,93 m²",4,3.57,10711,1911,2
https://www.immowelt.de/expose/2866s5y,Fernwärme,Zentralheizung,499.000 €,"62,08 m²",2,3.57,10711,1911,2
